"name","medianHouseholdIncome","medianPerCapitaIncome","pop2019"
"Luxembourg",52493,18418,"615.7290"
"Norway",51489,19308,"5378.8570"
"Sweden",50514,18632,"10036.3790"
"Australia",46555,15026,"25203.1980"
"Denmark",44360,18262,"5771.8760"
"United States",43585,15480,"329064.9170"
"Canada",41280,15181,"37411.0470"
"South Korea",40861,11950,"51225.3080"
"Kuwait",40854,7487,"4207.0830"
"Netherlands",38584,14450,"17097.1300"
"New Zealand",35562,12147,"4783.0630"
"Hong Kong",35443,9705,"7436.1540"
"Austria",34911,12284,"8955.1020"
"Japan",33822,10840,"126860.3010"
"Germany",33333,14098,"83517.0450"
"Taiwan",32762,6882,"23773.8760"
"Singapore",32360,7345,"5804.3370"
"United Kingdom",31617,12399,"67530.1720"
"France",31112,12445,"65129.7280"
"Israel",30364,7847,"8519.3770"
"Belgium",26703,10189,"11539.3280"
"Qatar",26555,5117,"2832.0670"
"Slovenia",25969,8656,"2078.6540"
"Saudi Arabia",24980,4762,"34268.5280"
"Bahrain",24693,4778,"1641.1720"
"Finland",24615,15725,"5532.1560"
"Czech Republic",22913,7821,"10689.2090"
"Spain",21959,7284,"46736.7760"
"Malta",21141,6869,"440.3720"
"Italy",20085,6874,"60550.0750"
"Cyprus",18242,4932,"1198.5750"
"Greece",17777,6086,"10473.4550"
"Slovakia",17415,5455,"5457.0130"
"Croatia",16231,5177,"4130.3040"
"Portugal",16186,5519,"10226.1870"
"Poland",15338,4578,"37887.7680"
"Belarus",15085,5236,"9452.4110"
"Argentina",14432,4109,"44780.6770"
"Lebanon",13004,2960,"6855.7130"
"Estonia",12577,5031,"1325.6480"
"Hungary",12445,4493,"9684.6790"
"Lithuania",12375,4719,"2759.6270"
"Iran",12046,3115,"82913.9060"
"Russia",11724,4129,"145872.2560"
"Mexico",11680,2900,"127575.5290"
"Montenegro",11519,3123,"627.9870"
"Azerbaijan",11446,2430,"10047.7180"
"Malaysia",11207,2267,"31949.7770"
"Ukraine",11074,3876,"43993.6380"
"Latvia",10461,4000,"1906.7430"
"Tunisia",8966,1646,"11694.7190"
"Turkey",8955,2538,"83429.6150"
"Costa Rica",8929,2032,"5047.5610"
"Serbia",8921,3020,"8772.2350"
"Bulgaria",8487,2829,"7000.1190"
"Panama",8356,2011,"4246.4390"
"Jordan",8276,1550,"10101.6940"
"Syria",8193,1431,"17070.1350"
"Chile",8098,2040,"18952.0380"
"Uruguay",7949,2488,"3461.7340"
"Romania",7922,2618,"19364.5570"
"Algeria",7849,1392,"43053.0540"
"Brazil",7522,2247,"211049.5270"
"Kazakhstan",7492,1958,"18551.4270"
"Albania",7314,1902,"2880.9170"
"Thailand",7029,1795,"69625.5820"
"Ecuador",6858,1682,"17373.6620"
"Mauritania",6679,778,"4525.6960"
"Morocco",6634,1135,"36471.7690"
"Colombia",6544,1534,"50339.4430"
"Bolivia",6399,1403,"11513.1000"
"Libya",6398,1012,"6777.4520"
"Dominican Republic",6302,1623,"10738.9580"
"China",6180,1786,"1433783.6860"
"Paraguay",6179,1292,"7044.6360"
"Mongolia",5922,1440,"3225.1670"
"South Africa",5217,1217,"58558.2700"
"Peru",5161,1077,"32510.4530"
"Tajikistan",5137,713,"9321.0180"
"Honduras",4848,821,"9746.1170"
"El Salvador",4828,1114,"6453.5530"
"Vietnam",4783,1124,"96462.1060"
"Guatemala",4516,898,"17581.4720"
"Moldova",4158,1329,"4043.2630"
"Afghanistan",4121,378,"38041.7540"
"Pakistan",4060,480,"216565.3180"
"Kyrgyzstan",4034,828,"6415.8500"
"Comoros",3912,598,"850.8860"
"Senegal",3897,402,"16296.3640"
"Armenia",3865,926,"2957.7310"
"Sudan",3640,579,"42813.2380"
"Botswana",3603,740,"2303.6970"
"Angola",3534,720,"31825.2950"
"Laos",3379,615,"7169.4550"
"Sri Lanka",3242,719,"21323.7330"
"Yemen",3178,400,"29161.9220"
"India",3168,616,"1366417.7540"
"Egypt",3111,623,"100388.0730"
"Bangladesh",2819,567,"163046.1610"
"Haiti",2735,627,"11263.0770"
"Nepal",2718,519,"28608.7100"
"Niger",2708,307,"23310.7150"
"Nigeria",2667,493,"200963.5990"
"Georgia",2591,734,"3996.7650"
"Philippines",2401,478,"108116.6150"
"Chad",2394,338,"15946.8760"
"Sierra Leone",2330,233,"7813.2150"
"Cambodia",2308,451,"16486.5420"
"Indonesia",2199,541,"270625.5680"
"Tanzania",2154,384,"58005.4630"
"Republic of the Congo",2106,416,"5380.5080"
"Cameroon",2075,403,"25876.3800"
"Ghana",2050,47,"30417.8560"
"DR Congo",1988,308,"86790.5670"
"Kenya",1870,402,"52573.9730"
"Uganda",1775,296,"44269.5940"
"Burkina Faso",1530,168,"20321.3780"
"Benin",1502,237,"11801.1510"
"Zambia",1501,287,"17861.0300"
"Rwanda",1101,235,"12626.9500"
"Madagascar",1013,205,"26969.3070"
"Liberia",781,118,"4937.3740"
"Burundi",673,129,"11530.5800"
"Togo",571,279,"8082.3660"
